External ID,Category,Item Name,Description,Variation Types,Variations,Barcode,Track Inventory,Prompt For Price,Unit Cost,Price,Sold by Weight/ Measure,Tax Category,Available for Sale  on POS,Available for Sale Online,Online Item Name,Package Cost,Units/Package,Primary Vendor,Units On Hand,Modified By 1,Modifier Group 1 External ID,Modified By 2,Modifier Group 2 External ID,Modified By 3,Modifier Group 3 External ID,Modified By 4,Modifier Group 4 External ID,Modified By 5,Modifier Group 5 External ID
2326861,Shakes & Cakes,Hot Chocolate,,,,,Y,N,,3,N,8%,Y,,,,1,,,,,,,,,,,,
2326830,Shakes & Cakes,Ice Cream,,,,,Y,N,,4.5,N,8%,Y,,,,1,,,,,,,,,,,,
2330746,Shakes & Cakes,Keyed Shakes & Cakes,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2326856,Shakes & Cakes,Summer Funnel Cake,,,,,Y,N,,10,N,8%,Y,,,,1,,,,,,,,,,,,
2326821,Shakes & Cakes,Summer Shake Up,,,,,Y,N,,10,N,8%,Y,,,,1,,,,,,,,,,,,
2326822,Shakes & Cakes,Summer Slushee,,,,,Y,N,,4,N,8%,Y,,,,1,,,,,,,,,,,,
2329764,Smokehouse,Apple Juice#,,,,,Y,N,,1.5,N,8%,Y,,,,1,,,,,,,,,,,,
2326838,Smokehouse,Bottled Water#,,,,,Y,N,,2.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326832,Smokehouse,Chicken Salad Sandwich Combo,,,,,Y,N,,10.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326839,Smokehouse,Chicken Salad Sandwich Only,,,,,Y,N,,8.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326837,Smokehouse,Fountain Drink#,,,,,Y,N,,2.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2330744,Smokehouse,Keyed Smokehouse food,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2326836,Smokehouse,Kids Meal- Mac'N Cheese,,,,,Y,N,,7.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326835,Smokehouse,Pulled Pork Sandwich Combo,,,,,Y,N,,10.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326842,Smokehouse,Pulled Pork Sandwich Only,,,,,Y,N,,8.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2329894,Smokehouse,Staff Mac & Cheese,,,,,Y,N,,4.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326833,Smokehouse,Whole Hog Sandwich Combo,,,,,Y,N,,13.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
2326840,Smokehouse,Whole Hog Sandwich Only,,,,,Y,N,,11.95,N,8%,Y,,,,1,,,Smokehouse,3557,,,,,,,,
